id,premises,question_id,conclusion,label
RelNoneg-OWA-D3-71,"The cow eats the squirrel.
The squirrel eats the cow.
The tiger likes the cow.
If something likes the tiger and it is nice then it eats the tiger.
If something eats the cow then it likes the squirrel.
If something visits the squirrel then the squirrel visits the cow.
If the cow eats the tiger and the tiger visits the squirrel then the cow eats the squirrel.
If something visits the tiger and it eats the tiger then it is blue.
If something likes the squirrel then it visits the squirrel.",Q10,The cow eats the tiger.,Uncertain
RelNoneg-OWA-D3-1155,"The cow visits the lion.
The lion is kind.
The lion visits the cow.
The rabbit eats the squirrel.
The rabbit is kind.
The rabbit is round.
The rabbit visits the lion.
The squirrel is big.
The squirrel is green.
The squirrel is round.
If something needs the lion then it eats the squirrel.
If something eats the cow and the cow visits the rabbit then the cow needs the rabbit.
If something eats the squirrel and it is big then the squirrel visits the lion.
If something needs the squirrel then it is big.
If something needs the cow then it is nice.
If something eats the lion and it eats the squirrel then it is green.
If something is round and nice then it needs the squirrel.
If something eats the squirrel then it is nice.",Q5,The rabbit needs the squirrel.,True
AttNonegNatLang-OWA-259,"Even though Bob is big and rough he is sometimes round and kind.
After Dave got wet in the rain, he feels cold.
He also looks green but big.
Eric is somehow red and kind and also green.
Gary is green and cold too.
A big, rough person who is green in color is definitely young aged.
Big, kind folks are green ones.
A nice but rough person will also be green and cold.
A big round young person is often blue.
Someone that is cold rough and red is also considered to be kind.
People who are young are also blue.
A person who is rough and young while being kind tends to be red.",Q11,Gary is not kind.,Uncertain
AttNeg-OWA-D3-830,"Bob is nice.
Bob is quiet.
Dave is big.
Dave is not nice.
Erin is furry.
Erin is nice.
Erin is red.
Erin is round.
Erin is smart.
Harry is not big.
Harry is furry.
Harry is nice.
Harry is quiet.
Harry is red.
Harry is round.
If someone is furry then they are quiet.
All round people are quiet.
All furry, quiet people are round.
If Dave is big then Dave is furry.
Round, smart people are nice.
Smart, quiet people are red.
If someone is furry and not big then they are smart.
If someone is nice and not round then they are smart.",Q6,Dave is not quiet.,False
RelNoneg-OWA-D1-1382,"The bald eagle chases the dog.
The bald eagle eats the squirrel.
The bald eagle is young.
The dog chases the bald eagle.
The dog chases the squirrel.
The squirrel chases the dog.
The squirrel eats the bald eagle.
The squirrel is nice.
The squirrel is red.
The squirrel visits the bald eagle.
If something chases the dog and it visits the dog then the dog visits the squirrel.
If something is kind and it visits the dog then the dog is nice.
If the squirrel is kind then the squirrel is nice.
If something is red then it is nice.
If something visits the bald eagle then the bald eagle visits the squirrel.
If something visits the dog then the dog chases the squirrel.
If something chases the dog and the dog is young then it visits the dog.
If something is kind then it visits the dog.",Q4,The bald eagle does not visit the squirrel.,False
RelNoneg-OWA-D3-448,"The cat eats the cow.
The cow chases the cat.
The cow is blue.
The cow is red.
The cow visits the cat.
The lion visits the cat.
The lion visits the cow.
If the lion chases the cat and the cat eats the lion then the cat visits the cow.
If someone visits the lion then they visit the cow.
If someone eats the cow and the cow chases the cat then they visit the lion.
If someone visits the cow and the cow visits the cat then they chase the cow.
If someone chases the lion then the lion eats the cat.
If someone visits the lion and the lion chases the cow then they are green.",Q16,The cow is rough.,Uncertain
RelNoneg-OWA-D3-445,"The bear is nice.
The mouse needs the tiger.
The rabbit is kind.
The tiger is green.
If something needs the tiger then it eats the tiger.
If something is green and it chases the rabbit then the rabbit chases the tiger.
If something is nice and it chases the rabbit then the rabbit eats the mouse.
If something chases the bear then the bear eats the rabbit.
If something chases the bear then it chases the mouse.
If the bear is rough and the bear needs the rabbit then the rabbit is green.
If something is kind then it needs the mouse.
If something eats the tiger then it chases the bear.",Q6,The mouse does not chase the bear.,False
RelNeg-OWA-D3-774,"The bald eagle chases the dog.
The dog chases the squirrel.
The squirrel is rough.
If something sees the squirrel then the squirrel sees the dog.
If something sees the squirrel then the squirrel does not need the dog.
If something is nice then it does not see the bald eagle.
If something needs the bald eagle and the bald eagle needs the squirrel then it needs the squirrel.
If something needs the squirrel then the squirrel chases the bald eagle.
If something chases the bald eagle then the bald eagle is cold.
If the dog chases the squirrel then the dog needs the squirrel.
If something is kind and not nice then it chases the squirrel.",Q1,The dog chases the squirrel.,True
AttNeg-OWA-D3-1458,"Bob is not green.
Bob is red.
Bob is not smart.
Charlie is not rough.
Dave is smart.
Erin is big.
Erin is not quiet.
If someone is big and not red then they are smart.
Cold, quiet people are not green.
If someone is big and quiet then they are green.
If Erin is green and Erin is rough then Erin is quiet.
If someone is cold and big then they are not quiet.
If someone is big then they are rough.
If someone is rough then they are not cold.
Red people are big.",Q11,Erin is not smart.,Uncertain
AttNoneg-OWA-D3-888,"Dave is red.
Dave is round.
Erin is quiet.
Erin is rough.
Erin is round.
Erin is young.
Fiona is red.
Fiona is rough.
Fiona is round.
Gary is blue.
Gary is red.
Gary is smart.
If someone is red and round then they are rough.
All smart people are round.
If Erin is young then Erin is rough.
Young, red people are quiet.
All blue, smart people are rough.
Round people are young.",Q10,Dave is smart.,Uncertain
RelNoneg-OWA-D3-598,"The cat is big.
The cat is kind.
The cat needs the tiger.
The cat visits the rabbit.
The rabbit eats the cat.
The rabbit eats the tiger.
The rabbit is rough.
The rabbit is round.
The rabbit needs the tiger.
The rabbit visits the cat.
The tiger is rough.
The tiger is round.
The tiger needs the cat.
The tiger visits the cat.
The tiger visits the rabbit.
If someone needs the cat then the cat eats the tiger.
If someone is cold then they eat the tiger.
Round people are cold.
If someone eats the tiger and the tiger eats the cat then they are rough.
If someone eats the tiger then they need the tiger.
If someone is round then they eat the cat.
If someone is cold and they need the tiger then they need the rabbit.
If someone eats the tiger and the tiger eats the rabbit then the tiger visits the cat.",Q3,The cat eats the tiger.,True
AttNeg-OWA-D3-514,"Dave is white.
White things are blue.
If Dave is furry then Dave is rough.
Blue things are furry.",Q7,Dave is rough.,True
AttNoneg-OWA-D3-1137,"Anne is rough.
Bob is furry.
Gary is kind.
White people are rough.
All furry, kind people are white.
All furry people are kind.",Q15,Gary is not furry.,Uncertain
AttNoneg-OWA-D2-1103,"Anne is big.
Anne is cold.
Anne is nice.
Anne is smart.
Anne is white.
Bob is big.
Bob is red.
Bob is round.
Bob is smart.
Fiona is nice.
Fiona is round.
Fiona is white.
All round, red people are cold.
White, round people are cold.
If someone is nice and round then they are smart.
All smart, cold people are big.
If Anne is round then Anne is cold.
White people are round.",Q1,Bob is big.,True
AttNeg-OWA-D3-429,"Anne is green.
Anne is smart.
Bob is green.
Bob is round.
Dave is red.
Dave is smart.
Dave is young.
If Dave is white then Dave is round.
White people are round.
If Dave is smart then Dave is white.
If someone is red and not smart then they are not blue.
Round people are blue.
If someone is red and not blue then they are green.",Q2,Anne is not smart.,False
AttNeg-OWA-D3-26,"Bob is blue.
Bob is young.
Charlie is blue.
Charlie is quiet.
Charlie is rough.
Charlie is round.
Charlie is young.
Gary is rough.
Gary is not white.
Gary is young.
If someone is round and not white then they are not blue.
If someone is white and red then they are blue.
Rough people are round.
All round people are red.
If someone is red then they are quiet.
If someone is rough and not red then they are young.
If someone is round and not blue then they are young.
Blue, white people are young.",Q6,Gary is not red.,False
RelNeg-OWA-D3-159,"The bear is big.
The bear is blue.
The bear is nice.
The bear is red.
The bear visits the lion.
The lion chases the bear.
The lion is big.
The lion is not green.
The lion sees the bear.
The lion visits the bear.
If the lion sees the bear then the bear is blue.
If something chases the bear then the bear is blue.
If the bear chases the lion then the lion is big.
If something chases the lion then it sees the lion.
If something visits the lion and the lion does not chase the bear then the bear chases the lion.
If something visits the bear then the bear does not chase the lion.
If something sees the bear and the bear does not chase the lion then the bear does not see the lion.
If something is red and it does not see the lion then the lion is blue.",Q14,The bear sees the bear.,Uncertain
AttNonegNatLang-OWA-481,"Alan may be young but he is nice, wears green shoes and is cold.
Bob is green with envy, and rough with his kids, but overall is just a nice, round individual.
That guy Dave sure is nice.
Fred is green to the job, which is why he turned blue from being so cold.
Every time you meet someone kind and nice, they'll be green, too.
When green, young and round fits a person, you'll see that rough will also fit.
If a person has a rough and round shape and is nice, then they will be big too.
Truth be told, every big, rough person out there that is green, will also be colored blue.
People who are feeling blue and green are said to be red.
Kind people that are round are on the big side.
If a person is blue and red and big, then that person is cold.",Q5,Bob is blue.,True
AttNoneg-OWA-D3-1372,"Bob is white.
Charlie is cold.
Gary is quiet.
Harry is smart.
Cold, quiet people are smart.
All smart people are white.
If Charlie is cold then Charlie is quiet.",Q8,Charlie is not white.,False
RelNeg-OWA-D3-810,"The cat is rough.
The cat is round.
The dog does not chase the lion.
The dog eats the cat.
The dog does not like the cat.
The lion chases the dog.
The lion is green.
If someone is green and they like the lion then they eat the dog.
If someone is round then they chase the lion.
If someone chases the lion then they like the dog.
If someone eats the dog then they are not round.
If the dog does not like the lion then the lion is red.
If someone likes the lion and the lion likes the cat then they chase the dog.
If someone likes the lion and the lion is green then the lion is round.
If someone likes the dog then they eat the lion.",Q11,The cat does not eat the dog.,Uncertain
RelNeg-OWA-D3-828,"The mouse is round.
Round things are not kind.
If something is round and not kind then it is young.
If something is young and round then it is not red.",Q4,The mouse is kind.,False
RelNoneg-OWA-D3-1548,"The bald eagle is cold.
The bald eagle is kind.
The bald eagle is young.
The bald eagle sees the cat.
The bald eagle visits the cat.
The bald eagle visits the dog.
The cat is kind.
The cat sees the dog.
The dog eats the bald eagle.
The dog eats the cat.
The dog is cold.
The dog is round.
The dog sees the bald eagle.
The dog sees the cat.
The dog visits the bald eagle.
The dog visits the cat.
If the dog visits the cat then the cat eats the dog.
If something is kind then it sees the dog.
If the bald eagle sees the dog then the dog is cold.
If something visits the cat and the cat eats the dog then the dog is kind.
If something eats the cat and it is round then the cat is rough.
If something visits the cat and the cat visits the bald eagle then the cat visits the dog.",Q4,The cat does not eat the dog.,False
RelNeg-OWA-D3-810,"The cat is rough.
The cat is round.
The dog does not chase the lion.
The dog eats the cat.
The dog does not like the cat.
The lion chases the dog.
The lion is green.
If someone is green and they like the lion then they eat the dog.
If someone is round then they chase the lion.
If someone chases the lion then they like the dog.
If someone eats the dog then they are not round.
If the dog does not like the lion then the lion is red.
If someone likes the lion and the lion likes the cat then they chase the dog.
If someone likes the lion and the lion is green then the lion is round.
If someone likes the dog then they eat the lion.",Q14,The cat likes the lion.,Uncertain
AttNeg-OWA-D3-762,"Bob is smart.
Charlie is blue.
Charlie is smart.
If Bob is furry then Bob is cold.
If Bob is furry then Bob is kind.
All smart people are furry.
Big people are kind.
If someone is cold and not smart then they are kind.
All smart, cold people are white.
Kind, cold people are white.
If someone is smart and not cold then they are not white.",Q13,Charlie is not big.,Uncertain
AttNeg-OWA-D3-1399,"Bob is blue.
Bob is green.
Erin is not blue.
Erin is green.
Erin is not nice.
Gary is not green.
Gary is smart.
If someone is green and blue then they are round.
If Erin is not green then Erin is blue.
If someone is green and round then they are not cold.
If someone is red then they are not blue.
If Bob is not green then Bob is nice.
If someone is blue and not cold then they are nice.
If Erin is nice then Erin is not smart.
If Erin is red then Erin is smart.",Q1,Erin is green.,True
AttNeg-OWA-D0-3410,"Bob is blue.
Fiona is round.
Harry is big.
If someone is blue and cold then they are not big.",Q3,Fiona is not big.,Uncertain
RelNeg-OWA-D3-1464,"The bald eagle does not chase the cow.
The bald eagle is not kind.
The bald eagle is not red.
The bald eagle likes the cow.
The bald eagle likes the mouse.
The cow chases the bald eagle.
The cow is red.
The cow likes the mouse.
The cow visits the mouse.
The mouse chases the cow.
The mouse is blue.
The mouse does not like the cow.
If the mouse chases the bald eagle and the mouse is kind then the mouse does not like the cow.
If the mouse is young then the mouse likes the cow.
If someone chases the mouse then the mouse likes the cow.
If someone is red and not green then they do not chase the cow.
If someone visits the mouse then the mouse likes the bald eagle.
If someone likes the bald eagle then they are red.
If someone visits the bald eagle then the bald eagle does not chase the mouse.
If someone is red then they visit the cow.",Q3,The mouse likes the bald eagle.,True
AttNoneg-OWA-D3-1267,"Anne is quiet.
Charlie is blue.
Charlie is kind.
Charlie is quiet.
Fiona is kind.
Fiona is smart.
Gary is green.
Nice, blue things are kind.
All kind things are blue.
Blue, smart things are nice.
All kind things are nice.
Big, kind things are quiet.
If Fiona is green and Fiona is nice then Fiona is quiet.
If something is nice then it is big.
Blue things are big.",Q8,Fiona is not quiet.,False
RelNoneg-OWA-D3-1479,"The cat is blue.
The cat is green.
The cat is kind.
The cat is nice.
The cat is young.
The cat likes the mouse.
The cat sees the mouse.
The cat visits the mouse.
The mouse is blue.
The mouse likes the cat.
The mouse sees the cat.
The mouse visits the cat.
If someone is green then they like the cat.
If someone is kind then they like the mouse.
If someone sees the cat and the cat sees the mouse then the mouse is blue.
If someone likes the mouse and the mouse is blue then they visit the mouse.
If the mouse likes the cat then the mouse is kind.
If someone likes the cat then they visit the cat.",Q10,The mouse is nice.,Uncertain
RelNeg-OWA-D3-1462,"The rabbit is green.
If someone is nice then they are young.
All nice people are young.
Young people are not big.
Young people are not big.
If the rabbit is cold and the rabbit is not green then the rabbit is not big.
If someone is cold and green then they are nice.
All big, young people are nice.
All green people are cold.",Q9,The rabbit does not eat the rabbit.,Uncertain
AttNonegNatLang-OWA-214,"Bob is green to the job, which is why he turned blue from being so cold.
Green, big and red are qualities which all describe Charlie.
Dave is a kind person and he is also often cold.
Gary is a really nice guy with a big round body, usually wearing red.
A person with big, round, kind face appears to be rough around the edges because they are naive.
A person feeling blue because of their big size will always be cold.
Do not fear big cold people for they are often kind.
A person that is very big and also the color red they will also be blue.
Cold and red people are always kind to others.
A person who is cold and red and blue is big.",Q1,Charlie is big.,True
RelNeg-OWA-D3-721,"The bald eagle sees the rabbit.
The lion is not big.
The lion is kind.
The lion likes the bald eagle.
The lion sees the squirrel.
The rabbit is not big.
The squirrel is not green.
The squirrel is red.
The squirrel does not like the lion.
The squirrel sees the rabbit.
If something likes the squirrel and it likes the rabbit then it does not see the bald eagle.
If something likes the rabbit then it chases the lion.
If something likes the lion then the lion sees the bald eagle.
If something is nice and it chases the rabbit then the rabbit likes the lion.
If something chases the lion then it is nice.
If something is red then it likes the rabbit.",Q7,The squirrel is nice.,True
RelNoneg-OWA-D3-1177,"The bald eagle eats the rabbit.
The bald eagle is green.
The bald eagle is kind.
The bald eagle needs the tiger.
The cat is green.
The cat needs the rabbit.
The rabbit chases the cat.
The rabbit eats the cat.
The rabbit eats the tiger.
The rabbit needs the tiger.
The tiger chases the cat.
The tiger needs the bald eagle.
If something needs the rabbit and it is kind then it eats the rabbit.
If something needs the bald eagle and it chases the cat then the cat is young.
If the tiger chases the cat then the cat is round.
If something chases the cat then it needs the rabbit.
If something needs the rabbit then it eats the cat.
If something eats the cat then it chases the tiger.",Q16,The cat needs the tiger.,Uncertain
AttNonegNatLang-OWA-184,"No one knows Bob like me and he is a kind guy, very round in the belly and green as grass.
That guy Charlie sure is nice.
Dave is shaped big and round like a balloon.
His red color shows how kind he is.
Young Gary here is always rough but nice and yes he is big.
Young, red people are usually quite blue too.
A nice but rough person will also be green and cold.
Most young kind people tend to be red too.
Why is it that every round person that is blue is so young.
Young and red people look round.
I bet anyone who is round and kind is also pretty young.",Q9,Dave is not cold.,Uncertain
RelNeg-OWA-D3-229,"The dog is red.
The squirrel is cold.
The tiger eats the dog.
If someone eats the dog then the dog sees the squirrel.
If someone sees the tiger then the tiger eats the dog.
If someone eats the tiger then they chase the dog.
If someone chases the dog and they are kind then they are cold.
If someone is kind and they chase the squirrel then the squirrel eats the dog.
If someone sees the squirrel then the squirrel eats the tiger.",Q7,The squirrel chases the dog.,True
AttNoneg-OWA-D3-226,"Bob is rough.
Dave is cold.
Round people are big.
If someone is cold and round then they are green.
All blue people are rough.
If someone is round then they are nice.
If someone is big and round then they are cold.
If someone is rough then they are round.
Nice, big people are green.
If Bob is green and Bob is rough then Bob is nice.",Q13,Dave is not blue.,Uncertain
AttNeg-OWA-D3-1629,"Bob is white.
Erin is young.
Gary is white.
All white, young things are not smart.
All rough things are not smart.
Green things are cold.
If something is rough then it is not green.
Young things are green.
Rough, young things are blue.
White things are young.
If something is white and not rough then it is young.",Q13,Erin is not white.,Uncertain
AttNoneg-OWA-D3-819,"Charlie is green.
Charlie is kind.
Charlie is quiet.
Charlie is white.
Dave is furry.
Dave is quiet.
Dave is rough.
Dave is smart.
Erin is quiet.
Gary is furry.
Gary is kind.
Gary is rough.
All furry, rough people are quiet.
If someone is green and smart then they are quiet.
All furry, quiet people are kind.
All white, furry people are kind.
If Dave is white and Dave is kind then Dave is green.
If someone is quiet then they are kind.
All kind people are white.
White, green people are smart.",Q10,Gary is smart.,Uncertain
AttNonegNatLang-OWA-92,"That guy Alan sure is nice.
Bob is kind and nice and looks green.
Harry is a young man who is rather round and kind.
 Harry is feeling blue because he has a sunburn that is making him rather red and he is also rather ill which makes him appear green.
A very nice person who is also green is certainly kind.
If someone plays rough and is nice and round, they will be big.
When someone is kind yet can be cold and blue, they will also be very big.
A person who is kind and rough and blue is young.
People turn green when they are feeling blue.
When someone is colored blue and is both kind and nice to others then they are cold.
A nice and green man or woman is also red in color.",Q14,Alan is round.,Uncertain
RelNoneg-OWA-D0-4550,"The bald eagle visits the rabbit.
The rabbit chases the bald eagle.
The rabbit visits the bald eagle.
If something chases the bald eagle and it visits the bald eagle then it sees the bald eagle.
If something sees the rabbit then the rabbit chases the bald eagle.
If something is red and it chases the rabbit then the rabbit is big.",Q1,The rabbit visits the bald eagle.,True
AttNonegNatLang-OWA-209,"Charlie is round but he is also nice and kind.
Dave is both young and red, but is nice and kind but he can be cold.
The young person who is always feeling cold is named Fred.
Gary may be round, but he is also kind.
Young people that are turning blue from being cold will be rough looking.
When you meet someone who is nice and kind, they wont feel blue.
A person that is both nice and rough is someone who is also big.
Kind people that are round are on the big side.
Cold and red people are always kind to others.
A cold blue person who is rough is also kind.",Q5,Dave is rough.,True
AttNoneg-OWA-D2-2298,"Dave is big.
Dave is quiet.
Dave is rough.
Dave is smart.
Fiona is kind.
Fiona is quiet.
Gary is green.
Gary is kind.
Harry is big.
Harry is furry.
Harry is kind.
Harry is smart.
Quiet, furry things are green.
All furry, rough things are quiet.
If Fiona is quiet then Fiona is furry.",Q1,Dave is smart.,True
RelNeg-OWA-D3-626,"The bald eagle eats the rabbit.
The bald eagle is not blue.
The bald eagle sees the mouse.
The bald eagle sees the tiger.
The mouse is not kind.
The rabbit is kind.
The rabbit is round.
The tiger is blue.
The tiger is green.
The tiger sees the rabbit.
If the mouse is young and the mouse eats the bald eagle then the mouse needs the rabbit.
If something is blue then it eats the mouse.
If something is kind and not young then it eats the mouse.
If something sees the tiger then it eats the rabbit.
If something sees the rabbit then the rabbit is not blue.
If something eats the mouse then the mouse is blue.
If something needs the rabbit and the rabbit eats the tiger then the tiger sees the rabbit.
If something eats the mouse and the mouse eats the tiger then the mouse does not see the rabbit.",Q14,The tiger is round.,Uncertain
AttNoneg-OWA-D3-1338,"Fiona is big.
Fiona is furry.
Fiona is quiet.
All furry things are nice.
If something is quiet and furry then it is rough.
If Fiona is big and Fiona is white then Fiona is quiet.
If something is white then it is smart.
If Fiona is nice then Fiona is big.
If Fiona is rough then Fiona is white.",Q8,Fiona is not smart.,False
AttNonegNatLang-OWA-278,"The young person who is always feeling cold is named Charlie.
Eric is kind.
He is also very cold and blue.
Fred seems to be round.
Harry is green and cold too.
A person who is cold and blue is nice.
People who have red coloration usually treat people in a kind manner.
They are also usually young looking.
Some cold people can be nice at times,and red at at other times.
When someone is colored blue and is both kind and nice to others then they are cold.",Q9,Harry is not young.,Uncertain
AttNoneg-OWA-D3-1897,"Anne is nice.
Bob is red.
Bob is rough.
Bob is young.
Charlie is red.
Harry is round.
Harry is white.
If Harry is nice then Harry is big.
All young, white people are round.
Red people are nice.
If Charlie is nice and Charlie is round then Charlie is red.
Rough, red people are big.
All big people are white.",Q11,Harry is not big.,Uncertain
AttNeg-OWA-D3-626,"Dave is big.
Dave is cold.
Dave is furry.
Dave is not red.
Dave is round.
Fiona is not red.
Fiona is round.
If someone is red and not blue then they are big.
All furry people are big.
If someone is kind and not red then they are furry.
If Fiona is round then Fiona is kind.
If Fiona is round then Fiona is cold.
Blue people are round.
If someone is red and not kind then they are cold.
All round people are cold.",Q1,Dave is not red.,True
AttNeg-OWA-D3-554,"Anne is kind.
Fiona is blue.
Fiona is nice.
Fiona is not round.
Fiona is young.
Gary is blue.
Gary is nice.
Gary is quiet.
Harry is blue.
Harry is round.
If something is blue then it is white.
Nice, quiet things are white.
If something is blue then it is white.
If something is round then it is white.
All white, quiet things are kind.
If Gary is kind then Gary is not young.",Q13,Anne is not blue.,Uncertain
RelNeg-OWA-D1-546,"The bear needs the cat.
The cat needs the bear.
The lion chases the bear.
The lion needs the bear.
The lion needs the cat.
The lion sees the bear.
The lion sees the cat.
If something is round and it needs the lion then the lion sees the bear.
If the lion needs the bear and the lion sees the bear then the bear is blue.
If the bear is green and the bear is rough then the bear is blue.
If something sees the lion and the lion sees the cat then the lion chases the bear.
If something chases the lion then the lion does not chase the bear.
If something sees the bear and it is cold then it is not round.
If something needs the cat then it is round.
If something chases the bear and the bear sees the lion then the bear chases the lion.",Q5,The bear does not chase the lion.,Uncertain
RelNeg-OWA-D3-650,"The bear does not chase the mouse.
The bear eats the lion.
The bear is green.
The bear is round.
The bear is young.
The bear does not need the mouse.
The lion does not chase the mouse.
The lion eats the tiger.
The mouse chases the bear.
The mouse does not eat the lion.
The mouse is young.
The mouse does not need the bear.
The mouse needs the lion.
The tiger chases the mouse.
The tiger eats the bear.
The tiger is round.
If the tiger eats the mouse and the mouse is young then the mouse is red.
If someone is young then they need the tiger.
If someone needs the tiger and they are not young then they are red.
If someone is red then they chase the mouse.
If the tiger is young and the tiger is red then the tiger needs the mouse.
If someone is round then they eat the mouse.
If the tiger needs the bear and the tiger does not chase the lion then the bear eats the lion.
If the bear is not red and the bear does not need the mouse then the bear chases the mouse.",Q3,The bear eats the mouse.,True
RelNoneg-OWA-D3-1597,"The bald eagle chases the rabbit.
The bald eagle needs the cat.
The bald eagle needs the rabbit.
The bald eagle visits the cat.
The cat is big.
The cat is kind.
The cat needs the bald eagle.
The rabbit is big.
The rabbit is cold.
The rabbit needs the cat.
The rabbit visits the bald eagle.
The rabbit visits the cat.
If something visits the cat then it needs the cat.
If something visits the rabbit then the rabbit visits the bald eagle.
If something visits the cat and the cat visits the bald eagle then the bald eagle visits the rabbit.
If something needs the cat then it needs the rabbit.
If something needs the bald eagle then it visits the cat.
If the rabbit is kind and the rabbit needs the cat then the rabbit needs the bald eagle.
If something is kind and it needs the rabbit then the rabbit visits the bald eagle.
If something needs the rabbit then it visits the rabbit.",Q15,The bald eagle is not big.,Uncertain
AttNoneg-OWA-D3-924,"Anne is big.
Anne is red.
Bob is big.
Bob is kind.
Bob is round.
Bob is smart.
Bob is white.
If Anne is kind then Anne is red.
Red, smart people are white.
If Bob is white then Bob is kind.
If someone is big and red then they are kind.
All white, round people are smart.
All kind people are round.
All round, blue people are white.
Big people are blue.",Q7,Anne is white.,True
RelNeg-OWA-D1-728,"The dog is big.
The dog is not green.
The dog is not red.
The dog is round.
The dog needs the lion.
The dog sees the lion.
The dog visits the lion.
The lion is not big.
The lion is green.
The lion is kind.
The lion is red.
The lion is round.
The lion needs the dog.
The lion sees the dog.
The lion visits the dog.
If the lion visits the dog and the dog visits the lion then the lion sees the dog.
If something visits the lion then it does not see the dog.
If something needs the lion and it does not visit the lion then the lion needs the dog.",Q8,The dog is kind.,Uncertain
RelNoneg-OWA-D2-1760,"The bald eagle is green.
The bald eagle is red.
The tiger is red.
If something visits the bald eagle and it is blue then the bald eagle likes the tiger.
If something visits the bald eagle and it is red then the bald eagle needs the tiger.
If something needs the bald eagle and the bald eagle is red then the bald eagle likes the tiger.
If something is green then it needs the bald eagle.
If something visits the bald eagle then the bald eagle visits the tiger.
If something is blue and it likes the tiger then the tiger likes the bald eagle.",Q12,The bald eagle visits the bald eagle.,Uncertain
